SNo,Review_ID,Review_Title,Review_Text,Rating,Date_Time,Reviewer_Name,Location,Product_Name,Category,Verified_Purchase,Site
1,FK_20251019_155215_1,N/A,4Small good 👍READ MORE,3.9,N/A,Gaurishankar Gaurishankar,14 days ago,"BRUTON 
HOCKEY-931 | Sports Running Shoes For Men  (Blue , 7)",N/A,Yes,Flipkart
2,FK_20251019_155215_2,N/A,4Small good 👍READ MORE,3.9,N/A,Gaurishankar Gaurishankar,14 days ago,"BRUTON 
HOCKEY-931 | Sports Running Shoes For Men  (Blue , 7)",N/A,Yes,Flipkart
3,FK_20251019_155215_3,N/A,N/A,3.9,N/A,N/A,N/A,"BRUTON 
HOCKEY-931 | Sports Running Shoes For Men  (Blue , 7)",N/A,No,Flipkart
4,FK_20251019_155215_4,N/A,N/A,3.9,N/A,N/A,N/A,"BRUTON 
HOCKEY-931 | Sports Running Shoes For Men  (Blue , 7)",N/A,No,Flipkart
5,FK_20251019_155215_5,N/A,N/A,3.9,N/A,N/A,N/A,"BRUTON 
HOCKEY-931 | Sports Running Shoes For Men  (Blue , 7)",N/A,No,Flipkart
6,FK_20251019_155215_6,N/A,4Small good 👍READ MORE,4,N/A,Gaurishankar Gaurishankar,3 months ago,"BRUTON 
HOCKEY-931 | Sports Running Shoes For Men  (Blue , 7)",N/A,Yes,Flipkart
7,FK_20251019_155215_7,N/A,5GoodREAD MORE,5,N/A,DURGADAS MURMU,5 months ago,"BRUTON 
HOCKEY-931 | Sports Running Shoes For Men  (Blue , 7)",N/A,Yes,Flipkart
8,FK_20251019_155215_8,N/A,4Product is good.only thing which decreased 1 star is that i ordered another color combination. But it's ok.READ MORE,4,N/A,Abhishek Kumar Singh,27 days ago,"BRUTON 
HOCKEY-931 | Sports Running Shoes For Men  (Blue , 7)",N/A,Yes,Flipkart
9,FK_20251019_155215_9,N/A,3Well product is fine it's linked to useREAD MORE,3,N/A,Souvik Subba,3 months ago,"BRUTON 
HOCKEY-931 | Sports Running Shoes For Men  (Blue , 7)",N/A,Yes,Flipkart
10,FK_20251019_155215_10,N/A,4Yes it is value for money and comfortable too.. the inner sole is comfortable too.. like the product....READ MORE,4,N/A,Rakesh Mondal,28 days ago,"BRUTON 
HOCKEY-931 | Sports Running Shoes For Men  (Blue , 7)",N/A,Yes,Flipkart
11,FK_20251019_155216_11,N/A,3Not exactly expectedREAD MORE,3,N/A,Gajendra  S,17 days ago,"BRUTON 
HOCKEY-931 | Sports Running Shoes For Men  (Blue , 7)",N/A,Yes,Flipkart
12,FK_20251019_155216_12,N/A,"3Inner sole quality poor. Light material, shoe not durable.READ MORE",3,N/A,Nishant Agrawal,22 days ago,"BRUTON 
HOCKEY-931 | Sports Running Shoes For Men  (Blue , 7)",N/A,Yes,Flipkart
13,FK_20251019_155216_13,N/A,3WasteREAD MORE,3,N/A,Flipkart Customer,1 month ago,"BRUTON 
HOCKEY-931 | Sports Running Shoes For Men  (Blue , 7)",N/A,Yes,Flipkart
14,FK_20251019_155216_14,N/A,5👍🏻 Nice shoes😍😍 for flipkart...❤️❤️❤️❤️READ MORE,5,N/A,Pallabi Roy,13 days ago,"BRUTON 
HOCKEY-931 | Sports Running Shoes For Men  (Blue , 7)",N/A,Yes,Flipkart
15,FK_20251019_155216_15,N/A,5Truly a Nice product.READ MORE,5,N/A,Lakhan Bhurewal,14 days ago,"BRUTON 
HOCKEY-931 | Sports Running Shoes For Men  (Blue , 7)",N/A,Yes,Flipkart
16,FK_20251019_155239_1,Worthless,Material quality is very bad.Read full review,4.3,"Sep, 2022",Manish .,3 days ago,Men’s Sports Shoes,N/A,Yes,Flipkart
17,FK_20251019_155310_1,N/A,4Nice product and satisfactory when compare with price.READ MORE,3.9,"Sep, 2024",Namgay Namgay,Abdul Haseeb,"BRUTON 
Lite Sports Shoes Running Shoes For Men  (Blue , 6)",N/A,Yes,Flipkart
18,FK_20251019_155310_2,N/A,4Nice product and satisfactory when compare with price.READ MORE,3.9,"Sep, 2024",Namgay Namgay,Abdul Haseeb,"BRUTON 
Lite Sports Shoes Running Shoes For Men  (Blue , 6)",N/A,Yes,Flipkart
19,FK_20251019_155310_3,N/A,N/A,3.9,N/A,N/A,N/A,"BRUTON 
Lite Sports Shoes Running Shoes For Men  (Blue , 6)",N/A,No,Flipkart
