SNo,Review_ID,Review_Title,Review_Text,Rating,Date_Time,Reviewer_Name,Location,Product_Name,Category,Verified_Purchase,Site
1,FK_20251019_160025_1,Great product,"Good MachineTips for review readersI bought 7kg for the family of 4. I felt I bought smaller as I have money and this is 1 time investment. So choose the kg as per your requirement or Bank balance.Yes this is dancing machine, no foam/no jaag But it clean like PRO. because we have to use only and only Branded LIQUID detergent. So the machine is not for lower middle class.The machine saved your time, energy but takes money for detergent and electricity.Buyer should have, the space for ...READ MORE",4.1,"Jan, 2023",Sohail Shaikh,Naveen Kumar,Whirlpool 7.5 kg Fully Automatic Top Load Washing Machine with In-built Heater Grey  (MAGIC CLEAN PR,N/A,Yes,Flipkart
2,FK_20251019_160025_2,N/A,N/A,4.1,N/A,N/A,N/A,Whirlpool 7.5 kg Fully Automatic Top Load Washing Machine with In-built Heater Grey  (MAGIC CLEAN PR,N/A,No,Flipkart
3,FK_20251019_160025_3,N/A,N/A,4.1,N/A,N/A,N/A,Whirlpool 7.5 kg Fully Automatic Top Load Washing Machine with In-built Heater Grey  (MAGIC CLEAN PR,N/A,No,Flipkart
4,FK_20251019_160025_4,Great product,"Good MachineTips for review readersI bought 7kg for the family of 4. I felt I bought smaller as I have money and this is 1 time investment. So choose the kg as per your requirement or Bank balance.Yes this is dancing machine, no foam/no jaag But it clean like PRO. because we have to use only and only Branded LIQUID detergent. So the machine is not for lower middle class.The machine saved your time, energy but takes money for detergent and electricity.Buyer should have, the space for ...READ MORE",5,"Jan, 2023",Sohail Shaikh,Naveen Kumar,Whirlpool 7.5 kg Fully Automatic Top Load Washing Machine with In-built Heater Grey  (MAGIC CLEAN PR,N/A,Yes,Flipkart
5,FK_20251019_160025_5,Great product,"Good MachineTips for review readersI bought 7kg for the family of 4. I felt I bought smaller as I have money and this is 1 time investment. So choose the kg as per your requirement or Bank balance.Yes this is dancing machine, no foam/no jaag But it clean like PRO. because we have to use only and only Branded LIQUID detergent. So the machine is not for lower middle class.The machine saved your time, energy but takes money for detergent and electricity.Buyer should have, the space for ...READ MORE",5,N/A,Sohail Shaikh,6 months ago,Whirlpool 7.5 kg Fully Automatic Top Load Washing Machine with In-built Heater Grey  (MAGIC CLEAN PR,N/A,Yes,Flipkart
6,FK_20251019_160025_6,Wonderful,Product is awesome. But. Installation engineer was too much focusing on selling base stand rather than providing the services.READ MORE,4,"Apr, 2024",Gyan Prakash,N/A,Whirlpool 7.5 kg Fully Automatic Top Load Washing Machine with In-built Heater Grey  (MAGIC CLEAN PR,N/A,Yes,Flipkart
7,FK_20251019_160025_7,Pretty good,GoodREAD MORE,4,N/A,Anish Kumar,11 months ago,Whirlpool 7.5 kg Fully Automatic Top Load Washing Machine with In-built Heater Grey  (MAGIC CLEAN PR,N/A,Yes,Flipkart
8,FK_20251019_160025_8,Must buy!,Whirlpool is wonderful nice products value for money 🍾👍READ MORE,5,"Aug, 2022",Flipkart Customer,N/A,Whirlpool 7.5 kg Fully Automatic Top Load Washing Machine with In-built Heater Grey  (MAGIC CLEAN PR,N/A,Yes,Flipkart
9,FK_20251019_160025_9,Worth every penny,When it comes to other people's review so many peoples said that this is dancing machine and sounds so louder and so many reviews was only about sound of the machine okay now i wanna review on my experience yes there's sound because after soak and wash next is rinse that makes sound before talking about the sound I have to tell that the rinse the machine does was extraordinary there was no little water and the rinse only for 3minutes people doesn't know about these and simply comment about th...READ MORE,5,"Aug, 2023",Flipkart Customer,N/A,Whirlpool 7.5 kg Fully Automatic Top Load Washing Machine with In-built Heater Grey  (MAGIC CLEAN PR,N/A,Yes,Flipkart
10,FK_20251019_160025_10,Great product,Already we using same machine last 2yr in 6.2kg no problem still and washing also goodDetergent Cup missingREAD MORE,5,"Feb, 2023",Krishna  Kumar,N/A,Whirlpool 7.5 kg Fully Automatic Top Load Washing Machine with In-built Heater Grey  (MAGIC CLEAN PR,N/A,Yes,Flipkart
11,FK_20251019_160025_11,Decent product,Economy class. Value for money.READ MORE,3,"Oct, 2022",Yudhishter Chauhan,N/A,Whirlpool 7.5 kg Fully Automatic Top Load Washing Machine with In-built Heater Grey  (MAGIC CLEAN PR,N/A,Yes,Flipkart
12,FK_20251019_160025_12,Value-for-money,So good for  price range to our middle class peoples .thank you flipkartREAD MORE,4,"Apr, 2023",Ponnam Gowthami,N/A,Whirlpool 7.5 kg Fully Automatic Top Load Washing Machine with In-built Heater Grey  (MAGIC CLEAN PR,N/A,Yes,Flipkart
13,FK_20251019_160025_13,Good,"It's taking too much time for any washing programme, which is not expected. Even dry only also taking more than 30 min. From relatives experiences it was understood that other company like LG SAMSUNG are taking that much time. Hot water option is not satisfactory.READ MORE",3,"Oct, 2024",లక్ష్మణ కుమార్ మల్లాది,N/A,Whirlpool 7.5 kg Fully Automatic Top Load Washing Machine with In-built Heater Grey  (MAGIC CLEAN PR,N/A,Yes,Flipkart
