SNo,Review_ID,Review_Title,Review_Text,Rating,Date_Time,Reviewer_Name,Location,Product_Name,Category,Verified_Purchase,Site,Source_File
1,FK_20251011_135407_11,Professional reviewer here,"Hi,I'm a professional reviewer.PROS:1- Excellent for typing work (I'm a content marketer)2- The build quality is excellent.3- The wire and USB cable quality is outstanding.4 - Compact and sleek5- Reasonable price.6- Media buttons (Mute, Volume Up, and Down work correctly.)I have purchased a Dell mouse and keyboard. The mouse turned into a disappointed but Keyboard is excellent.CONS:1- Print Screen, Scroll Lock. pause break buttons are added to Insert, Home, and PgUp.Overall,...READ MORE",5.0,"Nov, 2017",Krishna Kumar Silvery,,"DELL KB216 Multimedia Keyboard with USB Interface, Plunger Keys Technology & Chiclet Wired USB Stand",,Yes,Flipkart,70.csv
2,FK_20251011_135407_10,Great product,This keyboard keys very soft. When you use this keyboard you feel very comfortable and professional 😊READ MORE,5.0,"Nov, 2020",Mohd Aman,,"DELL KB216 Multimedia Keyboard with USB Interface, Plunger Keys Technology & Chiclet Wired USB Stand",,Yes,Flipkart,70.csv
3,FK_20251011_135407_9,Great product,Value for money. Highly recommended.READ MORE,5.0,"Apr, 2019",ABHISHEK GHOSH,,"DELL KB216 Multimedia Keyboard with USB Interface, Plunger Keys Technology & Chiclet Wired USB Stand",,Yes,Flipkart,70.csv
4,FK_20251011_135407_8,Excellent,Good product from flipkartKeyboard has a soft touch. Overall appearance is also goodPackaging is also perfectAll multimedia function are attachedRecommend to all those who are looking for good quality andAlso supports windows 10 OSREAD MORE,5.0,"May, 2019",Somak Acharya,,"DELL KB216 Multimedia Keyboard with USB Interface, Plunger Keys Technology & Chiclet Wired USB Stand",,Yes,Flipkart,70.csv
5,FK_20251011_135407_7,Simply awesome,this is called brand exactly same as the the shown in the picture so just go for it if you are looking for a perfect keyboard for typing this is amazing product thank you so much.READ MORE,5.0,"Oct, 2019",Upendra Sharma,,"DELL KB216 Multimedia Keyboard with USB Interface, Plunger Keys Technology & Chiclet Wired USB Stand",,Yes,Flipkart,70.csv
6,FK_20251011_135407_6,Terrific,"Thme most simplest and slimmest DELL ever keyboard for all rounding purpose (GAMING, OFFICE, STUDENT)READ MORE",5.0,"Mar, 2018",Bhuvanagiri Gireesh,,"DELL KB216 Multimedia Keyboard with USB Interface, Plunger Keys Technology & Chiclet Wired USB Stand",,Yes,Flipkart,70.csv
7,FK_20251011_135407_5,Simply awesome,VERY NICE PRODUCTREAD MORE,5.0,"Feb, 2019",Sushanta Dutta,,"DELL KB216 Multimedia Keyboard with USB Interface, Plunger Keys Technology & Chiclet Wired USB Stand",,Yes,Flipkart,70.csv
8,FK_20251011_135407_4,Simply awesome,VERY NICE PRODUCTREAD MORE,5.0,"Sep, 2018",Sushanta Dutta,Amit Maurya,"DELL KB216 Multimedia Keyboard with USB Interface, Plunger Keys Technology & Chiclet Wired USB Stand",,Yes,Flipkart,70.csv
9,FK_20251011_135342_14,Classy product,GoodREAD MORE,5.0,"Aug, 2022",Snehal Kesarkar,,"HP 330 Mouse & Keyboard Combo Wireless Standard Desktop Keyboard Compatible with Desktop, Laptop, Ma",,Yes,Flipkart,70.csv
10,FK_20251011_135342_12,Super!,It's working good.READ MORE,5.0,"Oct, 2022",Hari Pradhan,,"HP 330 Mouse & Keyboard Combo Wireless Standard Desktop Keyboard Compatible with Desktop, Laptop, Ma",,Yes,Flipkart,70.csv
11,FK_20251011_135342_10,Brilliant,I am using this product last one year. This product is really good and it's performance understanding. I use these keyboard and mouse atleast 5-7 hours in a day.READ MORE,5.0,"Sep, 2023",Bhupendra  Jadaun,,"HP 330 Mouse & Keyboard Combo Wireless Standard Desktop Keyboard Compatible with Desktop, Laptop, Ma",,Yes,Flipkart,70.csv
12,FK_20251011_141956_4,Perfect product!,Premium watch in this price range. Noise Fit App support is very bad.But watch is very goodREAD MORE,5.0,,Irfan Pathan,7 months ago,"Noise Pro 6 1.85'' Amoled Dispay with A Watch Faces & AI Companion Smartwatch  (Ice Blue Strap, Regu",,Yes,Flipkart,114.csv
13,FK_20251011_141932_13,Best in the market!,SuperREAD MORE,5.0,,Sachin Kumar,5 months ago,"GameSir Silver T800 Ultra Smartwatch Stainless Steel, BT Calling, Fitness & Music Smartwatch  (Silve",,Yes,Flipkart,114.csv
14,FK_20251011_141932_12,Best in the market!,BestREAD MORE,5.0,,Kaustav Saha,5 months ago,"GameSir Silver T800 Ultra Smartwatch Stainless Steel, BT Calling, Fitness & Music Smartwatch  (Silve",,Yes,Flipkart,114.csv
